id;name;instruction
1;SAS Gloves;Representative Innovative Reverse-engineered
2;Music Fork Business-focused;Investor Table
3;navigate;silver global syndicate
4;violet;Regional deposit
5;Generic Personal Loan Account lime;Regional
6;Nepalese Rupee;Gorgeous Metal Bike Saint Kitts and Nevis eco-centric
7;lime quantifying Plain;Jamaican Dollar invoice iterate
8;1080p Prairie deposit;directional e-business Vietnam
9;Fantastic Cotton Table;convergence clicks-and-mortar Niue
10;Cotton interfaces;granular SMS Louisiana
